datetime,station_antwerp,station_paris,station_london
2019-04-28 00:00:00,,19.0,
2019-04-28 01:00:00,,18.7,
2019-04-28 02:00:00,,14.8,
2019-04-28 03:00:00,8.5,12.3,
2019-04-28 04:00:00,10.5,10.2,
2019-04-28 05:00:00,,10.2,
2019-04-28 06:00:00,,11.1,
2019-04-28 07:00:00,,12.7,
2019-04-28 08:00:00,,13.6,
2019-04-28 09:00:00,,15.9,
2019-04-28 10:00:00,,17.7,18.0
2019-04-28 11:00:00,,13.5,21.0
2019-04-28 12:00:00,,14.0,23.0
2019-04-28 13:00:00,,17.7,23.0
2019-04-28 14:00:00,,20.7,23.0
2019-04-28 15:00:00,,19.8,24.0
2019-04-28 16:00:00,,18.4,23.0
2019-04-28 17:00:00,,22.7,23.0
2019-04-28 18:00:00,,22.0,24.0
2019-04-28 19:00:00,,23.7,27.0
2019-04-28 20:00:00,,31.2,28.0
2019-04-28 21:00:00,,32.3,29.0
2019-04-28 22:00:00,,39.3,28.0
2019-04-28 23:00:00,,33.2,31.0
2019-04-29 00:00:00,,27.1,31.0
2019-04-29 01:00:00,,29.8,24.0
2019-04-29 02:00:00,,26.2,24.0
2019-04-29 03:00:00,72.5,25.5,28.0
2019-04-29 04:00:00,52.5,34.9,28.0
2019-04-29 05:00:00,,34.5,26.0
2019-04-29 06:00:00,,36.1,26.0
2019-04-29 07:00:00,,39.3,31.0
2019-04-29 08:00:00,,52.6,39.0
2019-04-29 09:00:00,,45.4,41.0
2019-04-29 10:00:00,,39.1,40.0
2019-04-29 11:00:00,,28.5,38.0
2019-04-29 12:00:00,,27.5,35.0
2019-04-29 13:00:00,,23.3,33.0
2019-04-29 14:00:00,,19.9,30.0
2019-04-29 15:00:00,,14.3,31.0
2019-04-29 16:00:00,,15.7,31.0
2019-04-29 17:00:00,,15.0,37.0
2019-04-29 18:00:00,,15.9,36.0
2019-04-29 19:00:00,,21.4,37.0
2019-04-29 20:00:00,,23.9,37.0
2019-04-29 21:00:00,,21.9,38.0
2019-04-29 22:00:00,,32.1,41.0
2019-04-29 23:00:00,,31.6,39.0
2019-04-30 00:00:00,,33.7,39.0
2019-04-30 01:00:00,,34.3,36.0
2019-04-30 02:00:00,,27.9,36.0
2019-04-30 03:00:00,15.0,26.1,38.0
2019-04-30 04:00:00,9.0,22.8,38.0
2019-04-30 05:00:00,,23.9,38.0
2019-04-30 06:00:00,,30.8,38.0
2019-04-30 07:00:00,,37.3,26.0
2019-04-30 08:00:00,,51.5,30.0
2019-04-30 09:00:00,,44.1,33.0
2019-04-30 10:00:00,,45.1,37.0
2019-04-30 11:00:00,,37.0,37.0
2019-04-30 12:00:00,,33.7,36.0
2019-04-30 13:00:00,,28.4,30.0
2019-04-30 14:00:00,,21.5,28.0
2019-04-30 15:00:00,,24.2,27.0
2019-04-30 16:00:00,,19.1,29.0
2019-04-30 17:00:00,,0.0,34.0
2019-04-30 18:00:00,,0.0,37.0
2019-04-30 19:00:00,,20.1,40.0
2019-04-30 20:00:00,,27.2,42.0
2019-04-30 21:00:00,,36.8,43.0
2019-04-30 22:00:00,,39.6,40.0
2019-04-30 23:00:00,,42.8,38.0
2019-05-01 00:00:00,,41.3,38.0
2019-05-01 01:00:00,,43.6,25.0
2019-05-01 02:00:00,,37.8,
2019-05-01 03:00:00,12.5,31.2,
2019-05-01 04:00:00,12.0,26.1,26.0
2019-05-01 05:00:00,,23.1,29.0
2019-05-01 06:00:00,,24.9,29.0
2019-05-01 07:00:00,,28.5,30.0
2019-05-01 08:00:00,,33.4,32.0
2019-05-01 09:00:00,,37.8,35.0
2019-05-01 10:00:00,,33.5,34.0
2019-05-01 11:00:00,,33.5,33.0
2019-05-01 12:00:00,,33.3,35.0
2019-05-01 13:00:00,,28.2,37.0
2019-05-01 14:00:00,,23.2,36.0
2019-05-01 15:00:00,,22.5,35.0
2019-05-01 16:00:00,,20.6,36.0
2019-05-01 17:00:00,,24.4,34.0
2019-05-01 18:00:00,,21.0,37.0
2019-05-01 19:00:00,,20.5,35.0
2019-05-01 20:00:00,,23.0,38.0
2019-05-01 21:00:00,,22.3,37.0
2019-05-01 22:00:00,,24.1,35.0
2019-05-01 23:00:00,,24.4,36.0
2019-05-02 00:00:00,,23.8,36.0
2019-05-02 01:00:00,,22.7,31.0
2019-05-02 02:00:00,,19.1,31.0
2019-05-02 03:00:00,31.0,16.3,27.0
2019-05-02 04:00:00,36.5,13.2,27.0
2019-05-02 05:00:00,,15.4,25.0
2019-05-02 06:00:00,,17.5,25.0
2019-05-02 07:00:00,,35.8,28.0
2019-05-02 08:00:00,,49.4,33.0
2019-05-02 09:00:00,,51.0,35.0
2019-05-02 10:00:00,,55.5,31.0
2019-05-02 11:00:00,,43.6,28.0
2019-05-02 12:00:00,,38.1,28.0
2019-05-02 13:00:00,,32.6,32.0
2019-05-02 14:00:00,,37.0,27.0
2019-05-02 15:00:00,,38.3,28.0
2019-05-02 16:00:00,,36.3,31.0
2019-05-02 17:00:00,,41.4,32.0
2019-05-02 18:00:00,,36.7,37.0
2019-05-02 19:00:00,,29.9,35.0
2019-05-02 20:00:00,,28.4,40.0
2019-05-02 21:00:00,,30.7,45.0
2019-05-02 22:00:00,,28.6,45.0
2019-05-02 23:00:00,,31.0,41.0
2019-05-03 00:00:00,,31.1,41.0
2019-05-03 01:00:00,,27.5,31.0
2019-05-03 02:00:00,,26.7,31.0
2019-05-03 03:00:00,14.0,20.5,30.0
2019-05-03 04:00:00,25.5,17.5,30.0
2019-05-03 05:00:00,,17.6,30.0
2019-05-03 06:00:00,,23.3,30.0
2019-05-03 07:00:00,,32.8,32.0
2019-05-03 08:00:00,,45.1,29.0
2019-05-03 09:00:00,,48.1,37.0
2019-05-03 10:00:00,,46.4,47.0
2019-05-03 11:00:00,,39.8,46.0
2019-05-03 12:00:00,,46.3,43.0
2019-05-03 13:00:00,,38.2,38.0
2019-05-03 14:00:00,,29.0,37.0
2019-05-03 15:00:00,,38.1,35.0
2019-05-03 16:00:00,,36.0,34.0
2019-05-03 17:00:00,,29.2,30.0
2019-05-03 18:00:00,,33.0,33.0
2019-05-03 19:00:00,,46.5,36.0
